순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,60,12.0	
2,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,60,7.8	
3,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,60,5.9	
4,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,60,5.5	
5,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,60,4.5	
6,48d711bc1a903d95d891501dd96cdf06,경복궁,관광명소,60,4.3	
7,6e83a36a9b7bd04680c637b8f44a99ab,봉은사,종교,60,4.1	
8,8ba57fda99dae27f1df09914dc84eb37,서울월드컵경기장,레저/스포츠,60,3.9	
9,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,60,3.7	
10,8f9c104f2123fcd914e1cf5de0baef0b,서울식물원,관광명소,60,3.5	
11,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,60,3.2	
12,81bf1d15ad057d0cc8f1eb7bc402dd7c,전쟁기념관,문화생활시설,60,2.7	
13,efe0cec96bdcb5d3a95caa3c9e3062e7,조계사,종교,60,2.6	
14,ac50c8b01e74f605a64ac86543f58c2a,헌릉과 인릉,관광명소,60,2.4	
15,35b40620245d33f92227e62f5d890917,진관사,종교,60,2.4	
16,7604329d44b67a24da33a6315b69679d,코엑스마곡,문화생활시설,60,2.3	
17,034449c8eea9c7448f6623888d85976b,길상사,종교,60,2.3	
18,c149fdce592db1c81dd524c675dddbcc,압구정로데오거리,놀거리,60,2.3	
19,4ad99170855561c905cd752d5890235a,국립극장,문화생활시설,60,2.2	
20,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,60,2.2	
21,6494c84bb564fef63523d6f0acc50031,4.19기념탑,관광명소,60,2.1	
22,e32c668a30b563de4a999f3223f72a7f,하늘공원,관광명소,60,2.1	
23,6edf57b62b9e53b1b81a3d3f9c12168b,인서울27골프클럽,레저/스포츠,60,2.1	
24,f3e805aa5152dd56293bfbc96bc4761f,도선사,종교,60,2.1	
25,7a26ab6765d89defa50ba1df5722052c,고척스카이돔,레저/스포츠,60,2.0	
26,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,60,2.0	
27,72052bd332dcb27c72a17ad8b6cf960a,국립현대미술관서울관,문화생활시설,60,2.0	
28,9ce91f5d38832c72ade9db28f55eb712,북한산성,관광명소,60,2.0	
29,9dac72fa7ebfaa2eca0d9f9e4e8ddcff,팔각정북악스카이,관광명소,60,1.9	
30,d62611042cec6817f6c27c140fdaeedb,보라매공원,관광명소,60,1.9	
