순위,기준년월,시도명,시군구명,관광지ID,관심지점명,구분,연령대,성장율
1,202602,서울특별시,강동구,b06d509ac8ecbc6d4becbdf0d8236ca7,CGV천호,문화생활시설,50,136.8	
2,202602,서울특별시,노원구,2763a30e0be450cb22c1c60d0102aaed,CGV중계,문화생활시설,50,114.8	
3,202602,서울특별시,중랑구,3c463c0501b0871205a20ae50fc1e88c,CGV상봉,문화생활시설,50,104.5	
4,202602,서울특별시,송파구,cfc9d8000885f1fe2e2461a07509b4a0,메가박스송파파크하비오,문화생활시설,50,103.2	
5,202602,서울특별시,송파구,88a408abae8e6b955e99b5df087fd46d,송파근린공원,관광명소,50,96.2	
6,202602,서울특별시,강북구,260661d5bfd214982bf0739120e4d0a1,롯데시네마수유,문화생활시설,50,91.9	
7,202602,서울특별시,광진구,853821ef1158b88a67758ff711a27873,CGV강변,문화생활시설,50,85.6	
8,202602,서울특별시,용산구,0e105f50aee89d36873278b77072de7f,남산공원,관광명소,50,82.5	
9,202602,서울특별시,종로구,ee690f8a0eb4937c6579397d051c92d5,두산아트센터,문화생활시설,50,77.1	
10,202602,서울특별시,송파구,69d4eefd75ca8e53ff9e713471b1e387,송파구자원순환공원,관광명소,50,74.7	
