순위,기준년월,시도명,시군구명,관광지ID,관심지점명,구분,연령대,성장율
1,202602,서울특별시,마포구,359b1865069038b502122f54dc6a0655,홍대클럽거리,놀거리,60,134.0	
2,202602,서울특별시,강서구,7604329d44b67a24da33a6315b69679d,코엑스마곡,문화생활시설,60,112.8	
3,202602,서울특별시,강남구,13702edaf9d014525656de9908898c25,서울시립강남주민편익시설,문화생활시설,60,112.4	
4,202602,서울특별시,마포구,1e7e1c95ad993fbfa0a1906e8e0fbef9,평화의공원,관광명소,60,111.4	
5,202602,서울특별시,광진구,517145c5c293cbc9571be31305783772,우리유황온천,관광명소,60,106.3	
6,202602,서울특별시,중구,b9c5328de112bdd510c2904ce4843a13,숭례문,관광명소,60,106.1	
7,202602,서울특별시,송파구,28ced792122c623e78519e57eb441b75,롯데시네마월드타워,문화생활시설,60,105.5	
8,202602,서울특별시,서초구,25df89980765c5ae0e6e8ee8cf5e4720,반포종합운동장,관광명소,60,103.8	
9,202602,서울특별시,종로구,ee690f8a0eb4937c6579397d051c92d5,두산아트센터,문화생활시설,60,95.5	
10,202602,서울특별시,강서구,2b3b567e3505f8dd59990cb073d9ced5,롯데시네마김포공항,문화생활시설,60,92.0	
