순위,기준년월,시도명,시군구명,관광지ID,관심지점명,구분,연령대,성장율
1,202602,서울특별시,마포구,359b1865069038b502122f54dc6a0655,홍대클럽거리,놀거리,전체,141.8	
2,202602,서울특별시,노원구,8ac8842e8c6b6842dd1975cb77b53595,노원기차마을,문화생활시설,전체,134.7	
3,202602,서울특별시,양천구,6684e41deedd55175bd3f2634d856297,키즈런스포츠파크목동점,레저/스포츠,전체,71.5	
4,202602,서울특별시,용산구,0e105f50aee89d36873278b77072de7f,남산공원,관광명소,전체,68.2	
5,202602,서울특별시,노원구,2763a30e0be450cb22c1c60d0102aaed,CGV중계,문화생활시설,전체,65.8	
6,202602,서울특별시,송파구,2d25b7922940c7eaf85eb43d06e276c1,소마미술관,문화생활시설,전체,65.5	
7,202602,서울특별시,송파구,88a408abae8e6b955e99b5df087fd46d,송파근린공원,관광명소,전체,61.9	
8,202602,서울특별시,강동구,b06d509ac8ecbc6d4becbdf0d8236ca7,CGV천호,문화생활시설,전체,58.2	
9,202602,서울특별시,송파구,cfc9d8000885f1fe2e2461a07509b4a0,메가박스송파파크하비오,문화생활시설,전체,54.1	
10,202602,서울특별시,강동구,bd0bf05f1d9118ea7849efecd32da2d7,강동아트센터,문화생활시설,전체,50.2	
