순위,시도명,시군구명,행정동명,관광객수,전년동기관광객수,증감율,기준년월,조회일자
1,서울특별시,서대문구,홍제2동,13862.0,2836.0,388.9	,202602,202512~202602
2,서울특별시,성동구,성수2가1동,439723.0,121818.0,261.0	,202602,202512~202602
3,서울특별시,강동구,둔촌1동,11533.0,3689.0,212.7	,202602,202512~202602
4,서울특별시,송파구,잠실4동,23396.0,9160.0,155.4	,202602,202512~202602
5,서울특별시,용산구,후암동,90284.0,36151.0,149.7	,202602,202512~202602
6,서울특별시,성동구,금호1가동,14392.0,5820.0,147.3	,202602,202512~202602
7,서울특별시,강서구,발산1동,61772.0,25180.0,145.3	,202602,202512~202602
8,서울특별시,서대문구,북아현동,48839.0,21843.0,123.6	,202602,202512~202602
9,서울특별시,서초구,방배2동,19011.0,9003.0,111.2	,202602,202512~202602
10,서울특별시,광진구,중곡4동,10481.0,4970.0,110.9	,202602,202512~202602
