TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"독립기념관","202511","네이버카페","1.00000",,,,"4.60000","9619.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","4312938.00000","3976662.00000","8.50000","76767294.00000","76116663.00000","650631.00000"
"서울숲공원","202511","네이버카페","6.00000",,,,"4.60000","10555.00000","공원","37.5443878","127.0374424","서울특별시 성동구 성수동1가 678-1","서울특별시","성동구","7095686.00000","5752498.00000","23.30000","144684761.00000","102968907.00000","41715854.00000"
"서울대학교","202511","네이버카페","11.00000",,,,"4.40000","2000.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5936686.00000","5165076.00000","14.90000","71066671.00000","69249944.00000","1816727.00000"
"전쟁기념관","202511","네이버카페","1.00000",,,,"4.60000","17848.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10598602.00000","8856130.00000","19.70000","194452773.00000","158074272.00000","36378501.00000"
"정자역","202511","네이버카페","1.00000",,,,"4.40000","27.00000","교통 허브","37.366766","127.108265","성남시 정자역","경기도","성남시 분당구","7852481.00000","6944063.00000","13.10000","241486237.00000","226605362.00000","14880875.00000"
"북촌한옥마을","202511","네이버카페","2.00000",,,,"4.40000","23536.00000","명소","37.5814696","126.9849519","서울특별시 종로구 가회동 30-9","서울특별시","종로구","13616190.00000","11763409.00000","15.80000","259944010.00000","206395385.00000","53548625.00000"
"부산 국제시장","202511","네이버카페","6.00000",,,,"4.10000","12764.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6482172.00000","5855224.00000","10.70000","123146452.00000","94053687.00000","29092765.00000"
"진주성","202511","네이버카페","1.00000",,,,"4.50000","4092.00000","역사적 명소","35.1890244","128.078001","경상남도 진주시 남강로 626","경상남도","진주시","1947032.00000","1808580.00000","7.70000","32251969.00000","31736706.00000","515263.00000"
"해운대해수욕장","202511","네이버카페","6.00000",,,,"4.60000","2536.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","6100136.00000","5624714.00000","8.50000","239248843.00000","206120591.00000","33128252.00000"
"해인사","202511","네이버카페","2.00000",,,,"4.60000","4150.00000","불교사찰","35.8011781","128.098098","경상남도 합천군 가야면 해인사길 122","경상남도","합천군","636066.00000","602301.00000","5.60000","5040386.00000","5021132.00000","19254.00000"
"롯데워터파크 김해","202511","네이버카페","1.00000",,,,"4.20000","5379.00000","워터파크","35.1808236","128.8292747","경상남도 김해시 장유로 555","경상남도","김해시","4030313.00000","3623599.00000","11.20000","96115596.00000","92812930.00000","3302666.00000"
"덕수궁","202511","네이버카페","6.00000",,,,"4.60000","20024.00000","문화적 랜드마크","37.5658049","126.9751461","서울특별시 중구 세종대로 99","서울특별시","중구","14068348.00000","12655783.00000","11.20000","895873236.00000","636964129.00000","258909107.00000"
"코엑스몰","202511","네이버카페","2.00000",,,,"4.30000","24405.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","20540975.00000","18454628.00000","11.30000","774128213.00000","519991932.00000","254136281.00000"
"국립중앙박물관","202511","네이버카페","6.00000",,,,"4.70000","27648.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10598602.00000","8856130.00000","19.70000","194452773.00000","158074272.00000","36378501.00000"
"남한산성","202511","네이버카페","7.00000",,,,"4.40000","1788.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4118919.00000","4019082.00000","2.50000","75296316.00000","74894690.00000","401626.00000"
"남원 광한루원","202511","네이버카페","2.00000",,,,"4.30000","5285.00000","정원","35.4151468","127.3862661","전북특별자치도 남원시 향교동 244-6","전북특별자치도","남원시","915019.00000","874744.00000","4.60000","16414778.00000","16370947.00000","43831.00000"
"남산","202511","네이버카페","149.00000",,,,"4.70000","694.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","14068348.00000","12655783.00000","11.20000","895873236.00000","636964129.00000","258909107.00000"
"군산근대역사박물관","202511","네이버카페","1.00000",,,,"4.10000","5416.00000","지역사 박물관","35.9906994","126.7119653","전북특별자치도 군산시 장미동 1-67","전북특별자치도","군산시","2222409.00000","2067692.00000","7.50000","50216302.00000","48679560.00000","1536742.00000"
"하남스타필드","202511","네이버카페","1.00000",,,,"4.30000","18676.00000","쇼핑몰","37.5454054","127.223858","경기도 하남시 미사대로 750 스타필드 하남 1층","경기도","하남시","4951566.00000","4381618.00000","13.00000","129920660.00000","128836718.00000","1083942.00000"
"합천영상테마파크","202511","네이버카페","1.00000",,,,"4.10000","4017.00000","테마파크","35.5492109","128.07312","경상남도 합천군 용주면 합천호수로 757","경상남도","합천군","636066.00000","602301.00000","5.60000","5040386.00000","5021132.00000","19254.00000"
"서울아트시네마","202511","네이버카페","3.00000",,"3.00000","-1.00000","4.70000","60.00000","영화관","37.568038","126.9695876","서울특별시 중구 정동길 3","서울특별시","중구","14068348.00000","12655783.00000","11.20000","895873236.00000","636964129.00000","258909107.00000"
"김해공항","202511","네이버카페","4.00000",,,,"4.10000","4719.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","8557878.00000","6794476.00000","26.00000","278485669.00000","265602903.00000","12882766.00000"
